Trust,Week beginning,Hospital,ICU Available,ICU Occupied,Non ICU Available,Non ICU Occupied,ED Attendances
BHSCT,2010-02-05,Royal Belfast Hospital for Sick Children,56,43,490,432,594
BHSCT,2010-02-05,Royal Victoria Hospital,385,293,4069,3767,998
BHSCT,2010-02-12,Belfast City Hospital,77,54,3225,2512,0
BHSCT,2010-02-12,Mater Infirmorum Hospital,42,34,1281,1123,704
BHSCT,2010-02-12,Musgrave Park Hospital,0,0,1827,1299,0
BHSCT,2010-02-12,Royal Belfast Hospital for Sick Children,56,45,486,464,599
BHSCT,2010-02-12,Royal Victoria Hospital,385,303,4069,3744,980
BHSCT,2010-02-19,Belfast City Hospital,77,59,3225,2545,0
BHSCT,2010-02-19,Mater Infirmorum Hospital,42,35,1281,1160,684
BHSCT,2010-02-19,Musgrave Park Hospital,0,0,1827,1335,0
BHSCT,2010-02-19,Royal Belfast Hospital for Sick Children,56,30,486,485,596
BHSCT,2010-02-19,Royal Victoria Hospital,385,308,4069,3762,1049
BHSCT,2010-02-26,Belfast City Hospital,77,59,3225,2621,0
BHSCT,2010-02-26,Mater Infirmorum Hospital,42,36,1281,1162,686
BHSCT,2010-02-26,Musgrave Park Hospital,0,0,1827,1402,0
BHSCT,2010-02-26,Royal Belfast Hospital for Sick Children,52,26,483,462,638
BHSCT,2010-02-26,Royal Victoria Hospital,385,322,4069,3753,1054
BHSCT,2010-03-05,Belfast City Hospital,77,54,3225,2566,0
BHSCT,2010-03-05,Mater Infirmorum Hospital,42,34,1281,1173,730
BHSCT,2010-03-05,Musgrave Park Hospital,0,0,1827,1419,0
BHSCT,2010-03-05,Royal Belfast Hospital for Sick Children,56,47,483,493,677
BHSCT,2010-03-05,Royal Victoria Hospital,385,308,4069,3775,1090
BHSCT,2010-03-12,Belfast City Hospital,77,60,3225,2505,0
BHSCT,2010-03-12,Mater Infirmorum Hospital,42,34,1281,1171,732
BHSCT,2010-03-12,Musgrave Park Hospital,0,0,1827,1383,0
BHSCT,2010-03-12,Royal Belfast Hospital for Sick Children,56,57,483,504,744
BHSCT,2010-03-12,Royal Victoria Hospital,385,309,4069,3692,1113
BHSCT,2010-03-19,Belfast City Hospital,77,49,3225,2618,0
BHSCT,2010-03-19,Mater Infirmorum Hospital,42,34,1281,1153,795
BHSCT,2010-03-19,Musgrave Park Hospital,0,0,1827,1453,0
BHSCT,2010-03-19,Royal Belfast Hospital for Sick Children,56,42,483,470,741
BHSCT,2010-03-19,Royal Victoria Hospital,385,318,4069,3863,1073
BHSCT,2010-03-26,Belfast City Hospital,75,41,3215,2541,0
BHSCT,2010-03-26,Mater Infirmorum Hospital,42,32,1283,1137,738
BHSCT,2010-03-26,Musgrave Park Hospital,0,0,1772,1298,0
BHSCT,2010-03-26,Royal Belfast Hospital for Sick Children,56,50,489,470,660
BHSCT,2010-03-26,Royal Victoria Hospital,383,311,4062,3711,928
BHSCT,2010-04-02,Belfast City Hospital,63,24,3157,2279,0
BHSCT,2010-04-02,Mater Infirmorum Hospital,42,23,1295,1114,792
BHSCT,2010-04-02,Musgrave Park Hospital,0,0,1771,1115,0
BHSCT,2010-04-02,Royal Belfast Hospital for Sick Children,56,38,497,409,591
BHSCT,2010-04-02,Royal Victoria Hospital,371,269,4034,3441,1093
BHSCT,2010-04-09,Belfast City Hospital,63,30,3155,2529,0
BHSCT,2010-04-09,Mater Infirmorum Hospital,42,30,1295,1166,814
BHSCT,2010-04-09,Musgrave Park Hospital,0,0,1789,1271,0
BHSCT,2010-04-09,Royal Belfast Hospital for Sick Children,56,40,483,461,708
BHSCT,2010-04-09,Royal Victoria Hospital,371,292,4034,3750,1136
BHSCT,2010-04-16,Belfast City Hospital,63,54,3155,2574,0
BHSCT,2010-04-16,Mater Infirmorum Hospital,42,33,1295,1143,795
BHSCT,2010-04-16,Musgrave Park Hospital,0,0,1771,1293,0
BHSCT,2010-04-16,Royal Belfast Hospital for Sick Children,56,50,486,448,651
BHSCT,2010-04-16,Royal Victoria Hospital,371,319,4034,3706,1164
BHSCT,2010-04-23,Belfast City Hospital,63,49,3155,2580,0
BHSCT,2010-04-23,Mater Infirmorum Hospital,42,32,1295,1170,798
BHSCT,2010-04-23,Musgrave Park Hospital,0,0,1799,1309,0
BHSCT,2010-04-23,Royal Belfast Hospital for Sick Children,56,34,495,491,727
BHSCT,2010-04-23,Royal Victoria Hospital,371,320,4034,3730,1136
BHSCT,2010-04-30,Belfast City Hospital,63,48,3155,2397,0
BHSCT,2010-04-30,Mater Infirmorum Hospital,42,37,1295,1161,839
BHSCT,2010-04-30,Musgrave Park Hospital,0,0,1790,1175,0
BHSCT,2010-04-30,Royal Belfast Hospital for Sick Children,56,28,493,542,648
BHSCT,2010-04-30,Royal Victoria Hospital,371,288,4034,3629,1148
BHSCT,2010-05-07,Belfast City Hospital,63,50,3155,2617,0
BHSCT,2010-05-07,Mater Infirmorum Hospital,42,32,1295,1128,805
BHSCT,2010-05-07,Musgrave Park Hospital,0,0,1797,1268,0
BHSCT,2010-05-07,Royal Belfast Hospital for Sick Children,56,23,497,525,642
BHSCT,2010-05-07,Royal Victoria Hospital,371,309,4034,3707,1056
BHSCT,2010-05-14,Belfast City Hospital,63,50,3155,2597,0
BHSCT,2010-05-14,Mater Infirmorum Hospital,42,34,1295,1178,825
BHSCT,2010-05-14,Musgrave Park Hospital,0,0,1721,1283,0
BHSCT,2010-05-14,Royal Belfast Hospital for Sick Children,56,29,494,518,639
BHSCT,2010-05-14,Royal Victoria Hospital,371,312,3978,3626,1135
BHSCT,2010-05-21,Belfast City Hospital,63,49,3155,2546,0
BHSCT,2010-05-21,Mater Infirmorum Hospital,42,35,1295,1110,875
BHSCT,2010-05-21,Musgrave Park Hospital,0,0,1771,1267,0
BHSCT,2010-05-21,Royal Belfast Hospital for Sick Children,56,33,498,499,687
BHSCT,2010-05-21,Royal Victoria Hospital,371,320,3978,3730,1160
BHSCT,2010-05-28,Belfast City Hospital,63,46,3157,2417,0
BHSCT,2010-05-28,Mater Infirmorum Hospital,42,37,1295,1166,816
BHSCT,2010-05-28,Musgrave Park Hospital,0,0,1672,1164,0
BHSCT,2010-05-28,Royal Belfast Hospital for Sick Children,56,27,505,471,642
BHSCT,2010-05-28,Royal Victoria Hospital,371,297,3978,3550,1127
BHSCT,2010-06-04,Belfast City Hospital,63,44,3155,2449,0
BHSCT,2010-06-04,Mater Infirmorum Hospital,42,34,1295,1176,851
BHSCT,2010-06-04,Musgrave Park Hospital,0,0,1771,1246,0
BHSCT,2010-06-04,Royal Belfast Hospital for Sick Children,56,16,511,489,592
BHSCT,2010-06-04,Royal Victoria Hospital,371,308,3978,3608,1196
BHSCT,2010-06-11,Belfast City Hospital,63,49,3155,2452,0
BHSCT,2010-06-11,Mater Infirmorum Hospital,42,36,1295,1044,797
BHSCT,2010-06-11,Musgrave Park Hospital,0,0,1751,1292,0
BHSCT,2010-06-11,Royal Belfast Hospital for Sick Children,56,25,511,484,638
BHSCT,2010-06-11,Royal Victoria Hospital,371,309,3978,3592,1130
BHSCT,2010-06-18,Belfast City Hospital,63,55,3155,2456,0
BHSCT,2010-06-18,Mater Infirmorum Hospital,42,28,1291,1103,863
BHSCT,2010-06-18,Musgrave Park Hospital,0,0,1770,1268,0
BHSCT,2010-06-18,Royal Belfast Hospital for Sick Children,56,29,500,478,625
BHSCT,2010-06-18,Royal Victoria Hospital,371,302,3978,3552,1109
BHSCT,2010-06-25,Belfast City Hospital,63,49,3155,2434,0
BHSCT,2010-06-25,Mater Infirmorum Hospital,42,34,1295,1136,884
BHSCT,2010-06-25,Musgrave Park Hospital,0,0,1771,1255,0
BHSCT,2010-06-25,Royal Belfast Hospital for Sick Children,56,34,489,511,590
BHSCT,2010-06-25,Royal Victoria Hospital,371,310,3978,3482,1137
BHSCT,2010-07-02,Belfast City Hospital,63,49,3145,2449,0
BHSCT,2010-07-02,Mater Infirmorum Hospital,42,33,1295,1164,865
BHSCT,2010-07-02,Musgrave Park Hospital,0,0,1771,1217,0
BHSCT,2010-07-02,Royal Belfast Hospital for Sick Children,48,35,507,427,499
BHSCT,2010-07-02,Royal Victoria Hospital,371,314,3978,3417,1042
BHSCT,2010-07-09,Belfast City Hospital,63,48,3069,2170,0
BHSCT,2010-07-09,Mater Infirmorum Hospital,42,35,1295,1144,771
BHSCT,2010-07-09,Musgrave Park Hospital,0,0,1671,1075,0
BHSCT,2010-07-09,Royal Belfast Hospital for Sick Children,42,28,505,422,437
BHSCT,2010-07-09,Royal Victoria Hospital,371,275,3978,3182,1048
BHSCT,2010-07-16,Belfast City Hospital,63,43,3069,2417,0
BHSCT,2010-07-16,Mater Infirmorum Hospital,42,31,1295,1139,849
BHSCT,2010-07-16,Musgrave Park Hospital,0,0,1771,1154,0
BHSCT,2010-07-16,Royal Belfast Hospital for Sick Children,42,21,496,465,481
BHSCT,2010-07-16,Royal Victoria Hospital,371,287,3978,3408,1165
BHSCT,2010-07-23,Belfast City Hospital,63,46,3069,2386,0
BHSCT,2010-07-23,Mater Infirmorum Hospital,42,34,1295,1150,818
BHSCT,2010-07-23,Musgrave Park Hospital,0,0,1761,1205,0
BHSCT,2010-07-23,Royal Belfast Hospital for Sick Children,42,36,486,446,498
BHSCT,2010-07-23,Royal Victoria Hospital,371,304,3978,3479,1128
BHSCT,2010-07-30,Belfast City Hospital,63,54,3069,2361,0
BHSCT,2010-07-30,Mater Infirmorum Hospital,42,34,1295,1164,796
BHSCT,2010-07-30,Musgrave Park Hospital,0,0,1771,1253,0
BHSCT,2010-07-30,Royal Belfast Hospital for Sick Children,50,46,474,402,487
BHSCT,2010-07-30,Royal Victoria Hospital,371,308,3978,3422,1123
BHSCT,2010-08-06,Belfast City Hospital,63,37,3069,2436,0
BHSCT,2010-08-06,Mater Infirmorum Hospital,42,35,1295,1155,887
BHSCT,2010-08-06,Musgrave Park Hospital,0,0,1771,1254,0
BHSCT,2010-08-06,Royal Belfast Hospital for Sick Children,48,48,478,488,553
BHSCT,2010-08-06,Royal Victoria Hospital,371,300,3978,3361,1153
BHSCT,2010-08-13,Belfast City Hospital,63,24,3069,2399,0
BHSCT,2010-08-13,Mater Infirmorum Hospital,42,33,1295,1167,804
BHSCT,2010-08-13,Musgrave Park Hospital,0,0,1813,1146,0
BHSCT,2010-08-13,Royal Belfast Hospital for Sick Children,50,35,469,478,512
BHSCT,2010-08-13,Royal Victoria Hospital,371,291,3978,3266,1106
BHSCT,2010-08-20,Belfast City Hospital,63,33,3069,2407,0
BHSCT,2010-08-20,Mater Infirmorum Hospital,42,31,1295,1083,793
BHSCT,2010-08-20,Musgrave Park Hospital,0,0,1771,1080,0
BHSCT,2010-08-20,Royal Belfast Hospital for Sick Children,50,43,472,441,498
BHSCT,2010-08-20,Royal Victoria Hospital,371,292,3978,3403,1121
BHSCT,2010-08-27,Belfast City Hospital,63,28,3069,2272,0
BHSCT,2010-08-27,Mater Infirmorum Hospital,42,30,1295,1116,812
BHSCT,2010-08-27,Musgrave Park Hospital,0,0,1771,1029,0
BHSCT,2010-08-27,Royal Belfast Hospital for Sick Children,42,42,483,446,536
BHSCT,2010-08-27,Royal Victoria Hospital,371,266,4026,3354,1155
BHSCT,2010-09-03,Belfast City Hospital,63,45,3069,2344,0
BHSCT,2010-09-03,Mater Infirmorum Hospital,42,35,1295,1157,815
BHSCT,2010-09-03,Musgrave Park Hospital,0,0,1755,1143,0
BHSCT,2010-09-03,Royal Belfast Hospital for Sick Children,46,51,469,439,523
BHSCT,2010-09-03,Royal Victoria Hospital,371,276,4034,3477,1120
BHSCT,2010-09-10,Belfast City Hospital,63,45,3069,2488,0
BHSCT,2010-09-10,Mater Infirmorum Hospital,42,35,1295,1156,814
BHSCT,2010-09-10,Musgrave Park Hospital,0,0,1732,1215,0
BHSCT,2010-09-10,Royal Belfast Hospital for Sick Children,56,50,463,469,568
BHSCT,2010-09-10,Royal Victoria Hospital,371,300,4034,3560,1156
BHSCT,2010-09-17,Belfast City Hospital,63,52,3069,2422,0
BHSCT,2010-09-17,Mater Infirmorum Hospital,42,37,1295,1164,771
BHSCT,2010-09-17,Musgrave Park Hospital,0,0,1751,1262,0
BHSCT,2010-09-17,Royal Belfast Hospital for Sick Children,56,50,504,475,585
BHSCT,2010-09-17,Royal Victoria Hospital,371,289,4034,3543,1183
BHSCT,2010-09-24,Belfast City Hospital,63,50,3069,2411,0
BHSCT,2010-09-24,Mater Infirmorum Hospital,42,35,1295,1174,781
BHSCT,2010-09-24,Musgrave Park Hospital,0,0,1771,1270,0
BHSCT,2010-09-24,Royal Belfast Hospital for Sick Children,56,32,504,491,590
BHSCT,2010-09-24,Royal Victoria Hospital,371,315,4034,3445,1129
BHSCT,2010-10-01,Belfast City Hospital,63,54,3069,2423,0
BHSCT,2010-10-01,Mater Infirmorum Hospital,42,36,1295,1160,823
BHSCT,2010-10-01,Musgrave Park Hospital,0,0,1771,1276,0
BHSCT,2010-10-01,Royal Belfast Hospital for Sick Children,56,30,504,498,603
BHSCT,2010-10-01,Royal Victoria Hospital,371,319,4034,3477,1128
BHSCT,2010-10-08,Belfast City Hospital,63,46,3069,2401,0
BHSCT,2010-10-08,Mater Infirmorum Hospital,42,27,1295,1143,827
BHSCT,2010-10-08,Musgrave Park Hospital,0,0,1771,1254,0
BHSCT,2010-10-08,Royal Belfast Hospital for Sick Children,56,39,494,482,565
BHSCT,2010-10-08,Royal Victoria Hospital,371,309,4034,3537,1104
BHSCT,2010-10-15,Belfast City Hospital,63,54,3069,2348,0
BHSCT,2010-10-15,Mater Infirmorum Hospital,42,33,1295,1145,793
BHSCT,2010-10-15,Musgrave Park Hospital,0,0,1773,1283,0
BHSCT,2010-10-15,Royal Belfast Hospital for Sick Children,56,28,504,501,562
BHSCT,2010-10-15,Royal Victoria Hospital,371,309,4034,3543,1133
BHSCT,2010-10-22,Belfast City Hospital,63,45,3069,2381,0
BHSCT,2010-10-22,Mater Infirmorum Hospital,42,29,1211,1149,755
BHSCT,2010-10-22,Musgrave Park Hospital,0,0,1701,1276,0
BHSCT,2010-10-22,Royal Belfast Hospital for Sick Children,56,39,504,462,503
BHSCT,2010-10-22,Royal Victoria Hospital,371,307,4034,3501,1041
BHSCT,2010-10-29,Belfast City Hospital,63,46,3069,2382,0
BHSCT,2010-10-29,Mater Infirmorum Hospital,42,34,1211,1150,830
BHSCT,2010-10-29,Musgrave Park Hospital,0,0,1701,1255,0
BHSCT,2010-10-29,Royal Belfast Hospital for Sick Children,56,42,488,468,539
BHSCT,2010-10-29,Royal Victoria Hospital,371,306,4034,3470,1129
BHSCT,2010-11-05,Belfast City Hospital,63,45,3069,2418,0
BHSCT,2010-11-05,Mater Infirmorum Hospital,42,31,1211,1170,770
BHSCT,2010-11-05,Musgrave Park Hospital,0,0,1710,1308,0
BHSCT,2010-11-05,Royal Belfast Hospital for Sick Children,56,51,487,461,522
BHSCT,2010-11-05,Royal Victoria Hospital,371,320,4034,3601,1079
BHSCT,2010-11-12,Belfast City Hospital,63,57,3069,2384,0
BHSCT,2010-11-12,Mater Infirmorum Hospital,42,33,1211,1167,759
BHSCT,2010-11-12,Musgrave Park Hospital,0,0,1645,1232,0
BHSCT,2010-11-12,Royal Belfast Hospital for Sick Children,56,52,493,445,522
BHSCT,2010-11-12,Royal Victoria Hospital,371,327,4034,3614,1049
BHSCT,2010-11-19,Belfast City Hospital,63,49,3069,2428,0
BHSCT,2010-11-19,Mater Infirmorum Hospital,42,30,1211,1187,745
BHSCT,2010-11-19,Musgrave Park Hospital,0,0,1656,1273,0
BHSCT,2010-11-19,Royal Belfast Hospital for Sick Children,56,41,504,444,555
BHSCT,2010-11-19,Royal Victoria Hospital,371,299,4034,3613,1038
BHSCT,2010-11-26,Belfast City Hospital,63,43,3069,2375,0
BHSCT,2010-11-26,Mater Infirmorum Hospital,42,28,1211,1168,723
BHSCT,2010-11-26,Musgrave Park Hospital,0,0,1652,1293,0
BHSCT,2010-11-26,Royal Belfast Hospital for Sick Children,56,36,488,473,583
BHSCT,2010-11-26,Royal Victoria Hospital,371,301,4034,3467,1053
BHSCT,2010-12-03,Belfast City Hospital,63,41,3069,2338,0
BHSCT,2010-12-03,Mater Infirmorum Hospital,42,28,1211,1094,774
BHSCT,2010-12-03,Musgrave Park Hospital,0,0,1656,1363,0
BHSCT,2010-12-03,Royal Belfast Hospital for Sick Children,56,46,476,473,564
BHSCT,2010-12-03,Royal Victoria Hospital,371,308,4034,3530,1122
BHSCT,2010-12-10,Belfast City Hospital,63,45,3069,2347,0
BHSCT,2010-12-10,Mater Infirmorum Hospital,42,32,1211,1136,779
BHSCT,2010-12-10,Musgrave Park Hospital,0,0,1680,1350,0
BHSCT,2010-12-10,Royal Belfast Hospital for Sick Children,56,50,476,479,682
BHSCT,2010-12-10,Royal Victoria Hospital,371,315,4041,3462,1105
BHSCT,2010-12-17,Belfast City Hospital,63,49,3069,2224,0
BHSCT,2010-12-17,Mater Infirmorum Hospital,42,28,1211,1141,690
BHSCT,2010-12-17,Musgrave Park Hospital,0,0,1656,1108,0
BHSCT,2010-12-17,Royal Belfast Hospital for Sick Children,56,58,474,443,661
BHSCT,2010-12-17,Royal Victoria Hospital,371,295,4041,3264,938
BHSCT,2010-12-24,Belfast City Hospital,63,55,3069,1934,0
BHSCT,2010-12-24,Mater Infirmorum Hospital,42,35,1211,1125,802
BHSCT,2010-12-24,Musgrave Park Hospital,0,0,1104,872,0
BHSCT,2010-12-24,Royal Belfast Hospital for Sick Children,56,53,484,408,658
BHSCT,2010-12-24,Royal Victoria Hospital,371,300,4041,2767,1189
BHSCT,2010-12-31,Belfast City Hospital,63,55,3069,2297,0
BHSCT,2010-12-31,Mater Infirmorum Hospital,42,30,1211,1162,114
BHSCT,2010-12-31,Musgrave Park Hospital,0,0,1324,1143,0
BHSCT,2010-12-31,Royal Belfast Hospital for Sick Children,56,55,493,483,660
BHSCT,2010-12-31,Royal Victoria Hospital,371,286,4097,3387,1173
BHSCT,2011-01-07,Belfast City Hospital,63,59,3069,2407,0
BHSCT,2011-01-07,Mater Infirmorum Hospital,42,33,1211,1179,697
BHSCT,2011-01-07,Musgrave Park Hospital,0,0,1648,1351,0
BHSCT,2011-01-07,Royal Belfast Hospital for Sick Children,56,56,490,480,498
BHSCT,2011-01-07,Royal Victoria Hospital,371,306,4097,3526,970
BHSCT,2011-01-14,Belfast City Hospital,63,52,3069,2431,0
BHSCT,2011-01-14,Mater Infirmorum Hospital,42,30,1211,1194,647
BHSCT,2011-01-14,Musgrave Park Hospital,0,0,1496,1233,0
BHSCT,2011-01-14,Royal Belfast Hospital for Sick Children,56,48,503,485,611
BHSCT,2011-01-14,Royal Victoria Hospital,371,322,4092,3635,1093
BHSCT,2011-01-21,Belfast City Hospital,63,55,3069,2342,0
BHSCT,2011-01-21,Mater Infirmorum Hospital,42,33,1211,1164,684
BHSCT,2011-01-21,Musgrave Park Hospital,0,0,1376,1194,0
BHSCT,2011-01-21,Royal Belfast Hospital for Sick Children,56,49,506,504,673
BHSCT,2011-01-21,Royal Victoria Hospital,371,329,4097,3556,1022
BHSCT,2011-01-28,Belfast City Hospital,63,54,3069,2326,0
BHSCT,2011-01-28,Mater Infirmorum Hospital,42,32,1211,1160,755
BHSCT,2011-01-28,Musgrave Park Hospital,0,0,1354,1208,0
BHSCT,2011-01-28,Royal Belfast Hospital for Sick Children,56,48,507,528,773
BHSCT,2011-01-28,Royal Victoria Hospital,371,313,4065,3538,1145
BHSCT,2011-02-04,Belfast City Hospital,63,53,3069,2499,0
BHSCT,2011-02-04,Mater Infirmorum Hospital,42,38,1211,1172,737
BHSCT,2011-02-04,Musgrave Park Hospital,0,0,1556,1249,0
BHSCT,2011-02-04,Royal Belfast Hospital for Sick Children,56,52,516,554,732
BHSCT,2011-02-04,Royal Victoria Hospital,371,307,4041,3580,1200
BHSCT,2011-02-11,Belfast City Hospital,63,53,3069,2419,0
BHSCT,2011-02-11,Mater Infirmorum Hospital,42,36,1211,1151,732
BHSCT,2011-02-11,Musgrave Park Hospital,0,0,1595,1264,0
BHSCT,2011-02-11,Royal Belfast Hospital for Sick Children,56,54,527,512,683
BHSCT,2011-02-11,Royal Victoria Hospital,371,310,4041,3543,1091
BHSCT,2011-02-18,Belfast City Hospital,63,45,3069,2381,0
BHSCT,2011-02-18,Mater Infirmorum Hospital,42,37,1211,1182,814
BHSCT,2011-02-18,Musgrave Park Hospital,0,0,1505,1155,0
BHSCT,2011-02-18,Royal Belfast Hospital for Sick Children,56,57,500,506,695
BHSCT,2011-02-18,Royal Victoria Hospital,371,314,4041,3589,1123
BHSCT,2011-02-25,Belfast City Hospital,63,54,3069,2277,0
BHSCT,2011-02-25,Mater Infirmorum Hospital,42,33,1211,1169,807
BHSCT,2011-02-25,Musgrave Park Hospital,0,0,1383,1129,0
BHSCT,2011-02-25,Royal Belfast Hospital for Sick Children,56,49,502,477,669
BHSCT,2011-02-25,Royal Victoria Hospital,371,322,4041,3634,1098
BHSCT,2011-03-04,Belfast City Hospital,63,45,3069,2376,0
BHSCT,2011-03-04,Mater Infirmorum Hospital,42,37,1211,1166,729
BHSCT,2011-03-04,Musgrave Park Hospital,0,0,1446,1078,0
BHSCT,2011-03-04,Royal Belfast Hospital for Sick Children,56,44,505,479,617
BHSCT,2011-03-04,Royal Victoria Hospital,371,323,4041,3614,1069
BHSCT,2011-03-11,Belfast City Hospital,63,44,3069,2321,0
BHSCT,2011-03-11,Mater Infirmorum Hospital,42,30,1211,1151,790
BHSCT,2011-03-11,Musgrave Park Hospital,0,0,1630,1096,0
BHSCT,2011-03-11,Royal Belfast Hospital for Sick Children,56,52,497,545,680
BHSCT,2011-03-11,Royal Victoria Hospital,371,305,4041,3604,1110
BHSCT,2011-03-18,Belfast City Hospital,63,38,3069,2351,0
BHSCT,2011-03-18,Mater Infirmorum Hospital,42,28,1211,1162,886
BHSCT,2011-03-18,Musgrave Park Hospital,0,0,1560,1095,0
BHSCT,2011-03-18,Royal Belfast Hospital for Sick Children,56,52,497,510,749
BHSCT,2011-03-18,Royal Victoria Hospital,371,320,4041,3608,1134
BHSCT,2011-03-25,Belfast City Hospital,63,46,3069,2370,0
BHSCT,2011-03-25,Mater Infirmorum Hospital,42,29,1211,1146,691
BHSCT,2011-03-25,Musgrave Park Hospital,0,0,1580,1143,0
BHSCT,2011-03-25,Royal Belfast Hospital for Sick Children,56,43,499,497,787
BHSCT,2011-03-25,Royal Victoria Hospital,371,321,4041,3676,1160
BHSCT,2011-04-01,Belfast City Hospital,63,51,3006,2364,0
BHSCT,2011-04-01,Mater Infirmorum Hospital,42,35,1169,1141,878
BHSCT,2011-04-01,Musgrave Park Hospital,0,0,1585,1174,0
BHSCT,2011-04-01,Royal Belfast Hospital for Sick Children,56,49,525,490,751
BHSCT,2011-04-01,Royal Victoria Hospital,371,330,4188,3698,1198
BHSCT,2011-04-08,Belfast City Hospital,63,57,3006,2338,0
BHSCT,2011-04-08,Mater Infirmorum Hospital,42,33,1169,1154,826
BHSCT,2011-04-08,Musgrave Park Hospital,0,0,1552,1209,0
BHSCT,2011-04-08,Royal Belfast Hospital for Sick Children,56,49,525,481,797
BHSCT,2011-04-08,Royal Victoria Hospital,371,337,4188,3688,1162
BHSCT,2011-04-15,Belfast City Hospital,63,45,3006,2292,0
BHSCT,2011-04-15,Mater Infirmorum Hospital,42,30,1169,1116,826
BHSCT,2011-04-15,Musgrave Park Hospital,0,0,1587,1138,0
BHSCT,2011-04-15,Royal Belfast Hospital for Sick Children,56,42,525,519,761
BHSCT,2011-04-15,Royal Victoria Hospital,371,331,4188,3542,1033
BHSCT,2011-04-22,Belfast City Hospital,63,44,3006,1922,0
BHSCT,2011-04-22,Mater Infirmorum Hospital,42,30,1169,1078,863
BHSCT,2011-04-22,Musgrave Park Hospital,0,0,1346,825,0
BHSCT,2011-04-22,Royal Belfast Hospital for Sick Children,56,33,525,477,689
BHSCT,2011-04-22,Royal Victoria Hospital,371,294,4188,3020,1123
BHSCT,2011-04-29,Belfast City Hospital,63,39,3006,2208,0
BHSCT,2011-04-29,Mater Infirmorum Hospital,42,36,1169,1080,838
BHSCT,2011-04-29,Musgrave Park Hospital,0,0,1497,988,0
BHSCT,2011-04-29,Royal Belfast Hospital for Sick Children,56,39,525,460,660
BHSCT,2011-04-29,Royal Victoria Hospital,371,277,4188,3299,1196
BHSCT,2011-05-06,Belfast City Hospital,63,51,3006,2408,0
BHSCT,2011-05-06,Mater Infirmorum Hospital,42,39,1169,1173,809
BHSCT,2011-05-06,Musgrave Park Hospital,0,0,1574,1235,0
BHSCT,2011-05-06,Royal Belfast Hospital for Sick Children,56,38,533,441,670
BHSCT,2011-05-06,Royal Victoria Hospital,371,309,4188,3534,1186
BHSCT,2011-05-13,Belfast City Hospital,63,54,3006,2334,0
BHSCT,2011-05-13,Mater Infirmorum Hospital,42,35,1169,1182,771
BHSCT,2011-05-13,Musgrave Park Hospital,0,0,1560,1285,0
BHSCT,2011-05-13,Royal Belfast Hospital for Sick Children,56,37,525,411,625
BHSCT,2011-05-13,Royal Victoria Hospital,371,325,4188,3525,1120
BHSCT,2011-05-20,Belfast City Hospital,63,44,3006,2311,0
BHSCT,2011-05-20,Mater Infirmorum Hospital,42,34,1169,1185,818
BHSCT,2011-05-20,Musgrave Park Hospital,0,0,1564,1309,0
BHSCT,2011-05-20,Royal Belfast Hospital for Sick Children,56,35,525,382,588
BHSCT,2011-05-20,Royal Victoria Hospital,371,301,3957,3588,1043
